RepRapFirmware height map file v2 generated at 2020-05-23 17:24, min error -0.057, max error 0.273, mean 0.057, deviation 0.064
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,280.00,35.00,270.00,-1.00,12.60,12.60,22,19
  0.273,  0.260,  0.228,  0.189,  0.186,  0.160,  0.115,  0.132,  0.133,  0.122,  0.112,  0.113,  0.084,  0.092,  0.107,  0.108,  0.115,  0.139,  0.130,  0.115,  0.132,  0.090
  0.264,  0.250,  0.227,  0.184,  0.179,  0.150,  0.107,  0.125,  0.130,  0.116,  0.108,  0.107,  0.064,  0.078,  0.085,  0.094,  0.129,  0.148,  0.133,  0.111,  0.115,  0.075
  0.239,  0.245,  0.213,  0.177,  0.191,  0.163,  0.113,  0.119,  0.121,  0.101,  0.100,  0.087,  0.068,  0.095,  0.109,  0.083,  0.119,  0.162,  0.138,  0.130,  0.127,  0.091
  0.224,  0.241,  0.215,  0.181,  0.198,  0.161,  0.118,  0.105,  0.095,  0.076,  0.088,  0.070,  0.066,  0.079,  0.094,  0.088,  0.100,  0.146,  0.141,  0.131,  0.132,  0.091
  0.196,  0.219,  0.188,  0.152,  0.164,  0.116,  0.091,  0.095,  0.082,  0.053,  0.071,  0.061,  0.064,  0.065,  0.066,  0.085,  0.098,  0.144,  0.132,  0.115,  0.123,  0.086
  0.170,  0.195,  0.161,  0.130,  0.161,  0.127,  0.098,  0.098,  0.073,  0.047,  0.074,  0.082,  0.036,  0.058,  0.070,  0.066,  0.091,  0.132,  0.099,  0.090,  0.107,  0.068
  0.154,  0.172,  0.141,  0.115,  0.116,  0.093,  0.064,  0.095,  0.051,  0.046,  0.060,  0.061,  0.012,  0.051,  0.057,  0.050,  0.061,  0.114,  0.080,  0.076,  0.093,  0.049
  0.122,  0.150,  0.117,  0.095,  0.098,  0.073,  0.058,  0.067,  0.048,  0.058,  0.028,  0.024, -0.005,  0.021,  0.049,  0.040,  0.048,  0.091,  0.066,  0.059,  0.067,  0.028
  0.090,  0.116,  0.105,  0.077,  0.084,  0.067,  0.056,  0.063,  0.041,  0.029,  0.014,  0.008, -0.016,  0.004,  0.039, -0.010,  0.040,  0.066,  0.047,  0.049,  0.061,  0.020
  0.069,  0.104,  0.097,  0.081,  0.115,  0.063,  0.024,  0.045,  0.053,  0.062,  0.019,  0.033,  0.004,  0.026,  0.034, -0.006,  0.033,  0.074,  0.062,  0.075,  0.082,  0.019
  0.060,  0.098,  0.082,  0.066,  0.089,  0.040,  0.026,  0.047,  0.032,  0.022,  0.012, -0.004, -0.028, -0.001,  0.003, -0.009,  0.027,  0.063,  0.045,  0.055,  0.062,  0.013
  0.052,  0.096,  0.070,  0.048,  0.067,  0.070,  0.054,  0.023, -0.005, -0.027, -0.009, -0.022, -0.043, -0.029, -0.024, -0.024, -0.010,  0.015,  0.002,  0.032,  0.049,  0.029
  0.032,  0.087,  0.058,  0.039,  0.040,  0.025,  0.022,  0.023,  0.000, -0.030, -0.012, -0.032, -0.049, -0.016, -0.019, -0.020, -0.018,  0.024,  0.016,  0.020,  0.036,  0.014
  0.014,  0.053,  0.029,  0.017,  0.022,  0.013, -0.009,  0.011,  0.012, -0.024, -0.034, -0.053, -0.046, -0.004, -0.015, -0.026,  0.000,  0.021,  0.007,  0.003,  0.018, -0.005
  0.013,  0.043,  0.017,  0.006,  0.029,  0.027, -0.010,  0.018,  0.026, -0.010, -0.002, -0.032, -0.033, -0.005, -0.007, -0.031,  0.000,  0.015, -0.001,  0.003,  0.020, -0.013
  0.006,  0.036,  0.003,  0.000,  0.021, -0.011, -0.029,  0.012,  0.012, -0.019, -0.019, -0.034, -0.056, -0.019, -0.008, -0.049, -0.022,  0.006, -0.012, -0.015, -0.010, -0.026
  0.015,  0.038,  0.008,  0.003,  0.021,  0.006, -0.018,  0.007,  0.007, -0.017, -0.003, -0.022, -0.057, -0.015, -0.006, -0.028, -0.004,  0.009,  0.002,  0.009,  0.010, -0.011
  0.023,  0.051,  0.010, -0.006,  0.014, -0.001, -0.026,  0.011,  0.015, -0.008,  0.009, -0.006, -0.034, -0.019, -0.011, -0.012,  0.008,  0.022,  0.026,  0.039,  0.030,  0.013
  0.019,  0.070,  0.032,  0.017,  0.042,  0.025, -0.013,  0.027,  0.037,  0.004,  0.010, -0.002, -0.009,  0.004, -0.004, -0.015,  0.012,  0.014,  0.018,  0.029,  0.039,  0.030
